Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,predicate,object,30,0.6033670033670034,17,0.4444444444444444,0.0,0.0
instance of,person,has_name,,32,0.537878787878788,0,0.0,0.0,0.0
instance of,person,has_surname,,27,0.49242424242424243,0,0.0,0.0,0.0
instance of,person,has_first_name,,40,0.5692640692640693,0,0.0,0.0,0.0
instance of,person,has_occupation,,24,0.38311688311688313,0,0.0,0.0,0.0
instance of,person,has_age,,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,has_birthdate,,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_deathdate,,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,has_person_status,,29,0.449554367201426,0,0.0,0.0,0.0
instance of,person,recorded_at,,18,0.4545454545454546,0,0.0,0.0,0.0
instance of,person,has_race_or_color,,36,0.5162210338680927,0,0.0,0.0,0.0
hasname,asa coleman,predicate,object,25,0.5026455026455027,24,0.3383838383838384,0.0,0.0
hasname,asa coleman,has_name,,93,0.9708333333333333,0,0.0,0.0,0.0
hasname,asa coleman,has_surname,,78,0.9151515151515152,0,0.0,0.0,0.0
hasname,asa coleman,has_first_name,,67,0.5476190476190476,0,0.0,0.0,0.0
hasname,asa coleman,has_occupation,,38,0.6190476190476191,0,0.0,0.0,0.0
hasname,asa coleman,has_age,,71,0.8666666666666668,0,0.0,0.0,0.0
hasname,asa coleman,has_birthdate,,50,0.553113553113553,0,0.0,0.0,0.0
hasname,asa coleman,has_deathdate,,50,0.632967032967033,0,0.0,0.0,0.0
hasname,asa coleman,has_person_status,,42,0.6028011204481792,0,0.0,0.0,0.0
hasname,asa coleman,recorded_at,,11,0.41125541125541126,0,0.0,0.0,0.0
hasname,asa coleman,has_race_or_color,,42,0.6694677871148459,0,0.0,0.0,0.0
hasfirstname,asa,predicate,object,29,0.5907407407407408,0,0.0,0.0,0.0
hasfirstname,asa,has_name,,70,0.8736111111111112,0,0.0,0.0,0.0
hasfirstname,asa,has_surname,,70,0.8733164983164984,0,0.0,0.0,0.0
hasfirstname,asa,has_first_name,,92,0.9666666666666667,0,0.0,0.0,0.0
hasfirstname,asa,has_occupation,,38,0.5873015873015873,0,0.0,0.0,0.0
hasfirstname,asa,has_age,,53,0.7972222222222223,0,0.0,0.0,0.0
hasfirstname,asa,has_birthdate,,64,0.8324786324786324,0,0.0,0.0,0.0
hasfirstname,asa,has_deathdate,,48,0.5982905982905983,0,0.0,0.0,0.0
hasfirstname,asa,has_person_status,,48,0.6857298474945533,0,0.0,0.0,0.0
hasfirstname,asa,recorded_at,,17,0.4823232323232323,0,0.0,0.0,0.0
hasfirstname,asa,has_race_or_color,,41,0.6176470588235294,0,0.0,0.0,0.0
hassurname,coleman,predicate,object,32,0.5444444444444444,31,0.5396825396825397,0.0,0.0
hassurname,coleman,has_name,,78,0.9008333333333334,0,0.0,0.0,0.0
hassurname,coleman,has_surname,,95,0.9787878787878788,0,0.0,0.0,0.0
hassurname,coleman,has_first_name,,67,0.8674074074074074,0,0.0,0.0,0.0
hassurname,coleman,has_occupation,,42,0.6190476190476191,0,0.0,0.0,0.0
hassurname,coleman,has_age,,59,0.8166666666666667,0,0.0,0.0,0.0
hassurname,coleman,has_birthdate,,52,0.6871794871794871,0,0.0,0.0,0.0
hassurname,coleman,has_deathdate,,43,0.5615384615384615,0,0.0,0.0,0.0
hassurname,coleman,has_person_status,,44,0.6735294117647058,0,0.0,0.0,0.0
hassurname,coleman,recorded_at,,19,0.41313131313131307,0,0.0,0.0,0.0
hassurname,coleman,has_race_or_color,,44,0.6509803921568628,0,0.0,0.0,0.0
hasparticipantrole,registered person,predicate,object,52,0.5,17,0.48366013071895425,0.0,0.0
hasparticipantrole,registered person,has_name,,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_surname,,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_first_name,,44,0.6772486772486772,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_occupation,,50,0.6566137566137565,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_age,,40,0.5978835978835978,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_birthdate,,52,0.6937321937321936,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_deathdate,,52,0.6866096866096866,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_person_status,,46,0.6479302832244008,0,0.0,0.0,0.0
hasparticipantrole,registered person,recorded_at,,28,0.36195286195286197,0,0.0,0.0,0.0
hasparticipantrole,registered person,has_race_or_color,,46,0.60239651416122,0,0.0,0.0,0.0
haspersonstatus,free person,predicate,object,33,0.562962962962963,12,0.41919191919191917,0.0,0.0
haspersonstatus,free person,has_name,,43,0.6611111111111111,0,0.0,0.0,0.0
haspersonstatus,free person,has_surname,,46,0.6702020202020202,0,0.0,0.0,0.0
haspersonstatus,free person,has_first_name,,48,0.6599206349206349,0,0.0,0.0,0.0
haspersonstatus,free person,has_occupation,,41,0.6365079365079365,0,0.0,0.0,0.0
haspersonstatus,free person,has_age,,36,0.6126984126984126,0,0.0,0.0,0.0
haspersonstatus,free person,has_birthdate,,50,0.6683760683760683,0,0.0,0.0,0.0
haspersonstatus,free person,has_deathdate,,50,0.6207570207570208,0,0.0,0.0,0.0
haspersonstatus,free person,has_person_status,,94,0.9725490196078431,0,0.0,0.0,0.0
haspersonstatus,free person,recorded_at,,31,0.46262626262626255,0,0.0,0.0,0.0
haspersonstatus,free person,has_race_or_color,,38,0.530905695611578,0,0.0,0.0,0.0
