Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity,BERT Score Predicate (Precision),BERT Score Predicate (Recall),BERT Score Predicate (F1),BERT Score Object (Precision),BERT Score Object (Recall),BERT Score Object (F1)
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_name,name,32,0.537878787878788,20,0.4722222222222221,0.0,0.0,0.7971932,0.83778274,0.81698424,0.98862195,0.98862195,0.98862195
instance of,person,has_name,william harvey carney,32,0.537878787878788,22,0.4047619047619047,0.0,0.0,0.7971932,0.83778274,0.81698424,0.7154468,0.8372033,0.7715511
instance of,person,harvey,"carney, 'william harvey carney')",24,0.5050505050505051,16,0.4201388888888888,0.0,0.0,0.80972254,0.88090485,0.8438152,0.71574014,0.8173917,0.763196
instance of,person,has_surname,surname,27,0.4924242424242424,31,0.5396825396825397,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9995757,0.9995757,0.9995757
instance of,person,has_surname,carney,27,0.4924242424242424,33,0.5555555555555555,0.0,0.0,0.76556545,0.8276005,0.7953752,0.77766573,0.88752127,0.82896984
instance of,person,harvey,"carney, 'carney')",24,0.5050505050505051,26,0.4477124183006536,0.0,0.0,0.80972254,0.88090485,0.8438152,0.74280274,0.8165014,0.7779104
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0,0.7667884,0.8280858,0.7962592,0.7814972,0.85791993,0.8179273
instance of,person,has_first_name,william,40,0.5692640692640693,0,0.0,0.0,0.0,0.7667884,0.8280858,0.7962592,0.7766007,0.9214434,0.8428446
instance of,person,harvey,"carney, 'william')",24,0.5050505050505051,17,0.4444444444444444,0.0,0.0,0.80972254,0.88090485,0.8438152,0.73690283,0.8163333,0.7745871
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0,0.7749908,0.84134984,0.8068082,0.78212535,0.86170995,0.8199912
