Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity,BERT Score Predicate (Precision),BERT Score Predicate (Recall),BERT Score Predicate (F1),BERT Score Object (Precision),BERT Score Object (Recall),BERT Score Object (F1)
instance of,person,has_name,name,32,0.537878787878788,20,0.4722222222222221,0.0,0.0,0.7971932,0.83778274,0.81698424,0.98862195,0.98862195,0.98862195
instance of,person,has_name,lewis temple,32,0.537878787878788,22,0.5,0.0,0.0,0.7971932,0.83778274,0.81698424,0.7083313,0.8298483,0.76428986
instance of,person,has_surname,surname,27,0.4924242424242424,31,0.5396825396825397,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9995757,0.9995757,0.9995757
instance of,person,has_surname,temple,27,0.4924242424242424,33,0.4444444444444444,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9784161,0.9784161,0.9784161
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0,0.7667884,0.8280858,0.7962592,0.7814972,0.85791993,0.8179273
instance of,person,has_first_name,lewis,40,0.5692640692640693,36,0.5777777777777778,0.0,0.0,0.7667884,0.8280858,0.7962592,0.72216225,0.8958858,0.799698
instance of,person,has_occupation,occupation,24,0.3831168831168831,38,0.4888888888888889,0.0,0.0,0.80161965,0.85177016,0.82593435,0.99910057,0.99910057,0.99910057
instance of,person,has_occupation,maker of items used in whaling,24,0.3831168831168831,22,0.5166666666666666,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8046983,0.84751844,0.82555354
instance of,person,has_occupation,blacksmith,24,0.3831168831168831,12,0.4222222222222222,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8096889,0.9228319,0.862566
instance of,person,has_occupation,abolitionist,24,0.3831168831168831,22,0.5,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8224115,0.92838377,0.8721905
instance of,person,has_occupation,and inventor,24,0.3831168831168831,22,0.4166666666666667,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8558737,0.90624154,0.8803378
instance of,person,has_age,age,33,0.4559884559884559,22,0.5,0.0,0.0,0.8066352,0.84434843,0.82506114,0.99847496,0.99847496,0.99847496
instance of,person,has_age,53,33,0.4559884559884559,0,0.0,0.0,0.0,0.8066352,0.84434843,0.82506114,0.9992197,0.9992197,0.9992197
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.4957264957264957,0.0,0.0,0.79754794,0.8421512,0.8192429,0.7665323,0.86474997,0.8126843
instance of,person,has_birthdate,october 22,33,0.5463869463869464,25,0.4888888888888889,0.0,0.0,0.79754794,0.8421512,0.8192429,0.7731194,0.85015893,0.80981106
instance of,person,has_birthdate,1800,33,0.5463869463869464,0,0.0,0.0,0.0,0.79754794,0.8421512,0.8192429,0.9983125,0.9983125,0.9983125
instance of,person,has_deathdate,date_of_death,33,0.3904428904428904,21,0.4957264957264957,0.0,0.0,0.80097455,0.83004844,0.81525236,0.7698187,0.86639637,0.8152573
instance of,person,has_deathdate,may 18,33,0.3904428904428904,0,0.0,0.0,0.0,0.80097455,0.83004844,0.81525236,0.88298976,0.9346242,0.9080736
instance of,person,has_deathdate,1854,33,0.3904428904428904,0,0.0,0.0,0.0,0.80097455,0.83004844,0.81525236,0.8269918,0.91315967,0.86794233
instance of,person,has_person_status,slave,29,0.449554367201426,18,0.0,0.0,0.0,0.7720976,0.83118725,0.8005535,0.9992676,0.9992676,0.9992676
instance of,person,has_person_status,abolitionist,29,0.449554367201426,22,0.5,0.0,0.0,0.7720976,0.83118725,0.8005535,0.8224115,0.92838377,0.8721905
