Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity,BERT Score Predicate (Precision),BERT Score Predicate (Recall),BERT Score Predicate (F1),BERT Score Object (Precision),BERT Score Object (Recall),BERT Score Object (F1)
instance of,person,on the provided,"text, we can populate the ontology modules as follows:",38,0.5292929292929293,13,0.4135802469135802,0.0,0.0,0.84986186,0.8802807,0.86480385,0.7964283,0.82933784,0.81255
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_name,name,32,0.537878787878788,20,0.4722222222222221,0.0,0.0,0.7971932,0.83778274,0.81698424,0.98862195,0.98862195,0.98862195
instance of,person,has_name,asa coleman,32,0.537878787878788,35,0.5050505050505051,0.0,0.0,0.7971932,0.83778274,0.81698424,0.7548572,0.875048,0.810521
instance of,person,has_surname,surname,27,0.4924242424242424,31,0.5396825396825397,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9995757,0.9995757,0.9995757
instance of,person,has_surname,coleman,27,0.4924242424242424,31,0.5396825396825397,0.0,0.0,0.76556545,0.8276005,0.7953752,0.73376006,0.8840059,0.8019061
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0,0.7667884,0.8280858,0.7962592,0.7814972,0.85791993,0.8179273
instance of,person,has_first_name,asa,40,0.5692640692640693,22,0.5,0.0,0.0,0.7667884,0.8280858,0.7962592,0.87139124,0.9455807,0.9069713
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0,0.88111395,0.88599193,0.88354623,0.9215966,0.94946736,0.9353244
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0,0.7581123,0.8313376,0.7930382,0.79171014,0.89141923,0.8386113
instance of,person,has_interagent_relationship_type,enslaver,33,0.5340909090909091,29,0.5277777777777778,0.0,0.0,0.7581123,0.8313376,0.7930382,0.7341683,0.88741803,0.8035516
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0,0.7762902,0.87525815,0.82280886,0.9991922,0.9991922,0.9991922
instance of,person,is_relationship_to,slave,34,0.5798460798460798,18,0.0,0.0,0.0,0.7762902,0.87525815,0.82280886,0.9992676,0.9992676,0.9992676
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_sex,sex_type,22,0.4559884559884559,29,0.3611111111111111,0.0,0.0,0.8085098,0.8579323,0.83248824,0.7974366,0.8877914,0.8401917
instance of,person,has_sex,male,22,0.4559884559884559,20,0.4722222222222221,0.0,0.0,0.8085098,0.8579323,0.83248824,0.9931364,0.9931364,0.9931364
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_occupation,occupation,24,0.3831168831168831,38,0.4888888888888889,0.0,0.0,0.80161965,0.85177016,0.82593435,0.99910057,0.99910057,0.99910057
instance of,person,has_occupation,carpenter,24,0.3831168831168831,40,0.6203703703703703,0.0,0.0,0.80161965,0.85177016,0.82593435,0.79154634,0.8887659,0.8373437
instance of,person,has_occupation,politician,24,0.3831168831168831,38,0.6,0.0,0.0,0.80161965,0.85177016,0.82593435,0.9994781,0.9994781,0.9994781
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_age,age,33,0.4559884559884559,22,0.5,0.0,0.0,0.8066352,0.84434843,0.82506114,0.99847496,0.99847496,0.99847496
instance of,person,has_age,unknown,33,0.4559884559884559,31,0.373015873015873,0.0,0.0,0.8066352,0.84434843,0.82506114,0.999015,0.999015,0.999015
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.4957264957264957,0.0,0.0,0.79754794,0.8421512,0.8192429,0.7665323,0.86474997,0.8126843
instance of,person,has_birthdate,unknown,33,0.5463869463869464,31,0.373015873015873,0.0,0.0,0.79754794,0.8421512,0.8192429,0.999015,0.999015,0.999015
instance of,person,has_deathdate,date_of_death,33,0.3904428904428904,21,0.4957264957264957,0.0,0.0,0.80097455,0.83004844,0.81525236,0.7698187,0.86639637,0.8152573
instance of,person,has_deathdate,unknown,33,0.3904428904428904,31,0.373015873015873,0.0,0.0,0.80097455,0.83004844,0.81525236,0.999015,0.999015,0.999015
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0,0.8770189,0.88307714,0.88003767,0.9215966,0.94946736,0.9353244
instance of,person,has_person_status,former slave,29,0.449554367201426,33,0.5833333333333334,0.0,0.0,0.7720976,0.83118725,0.8005535,0.82092524,0.89130694,0.8546696
instance of,person,has_person_status,politician,29,0.449554367201426,38,0.6,0.0,0.0,0.7720976,0.83118725,0.8005535,0.9994781,0.9994781,0.9994781
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0,0.75222075,0.82725716,0.7879566,0.9473592,0.9473592,0.9473592
instance of,person,has_status_generating_event,emancipation,26,0.4799102132435466,33,0.5,0.0,0.0,0.75222075,0.82725716,0.7879566,0.99921584,0.99921584,0.99921584
instance of,person,has_status_generating_event,election to virginia house of delegates,26,0.4799102132435466,18,0.5064102564102564,0.0,0.0,0.75222075,0.82725716,0.7879566,0.7853657,0.87946767,0.8297573
instance of,person,to virginia house of,delegates'),45,0.5840909090909091,24,0.4191919191919191,0.2202881505618296,0.0,0.8238544,0.9188578,0.86876655,0.8139652,0.88924277,0.8499404
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0,0.82205707,0.871673,0.8461383,0.9473592,0.9473592,0.9473592
instance of,person,recorded_at,emancipation,18,0.4545454545454546,33,0.5,0.0,0.0,0.82205707,0.871673,0.8461383,0.99921584,0.99921584,0.99921584
instance of,person,recorded_at,election to virginia house of delegates,18,0.4545454545454546,18,0.5064102564102564,0.0,0.0,0.82205707,0.871673,0.8461383,0.7853657,0.87946767,0.8297573
instance of,person,to virginia house of,delegates'),45,0.5840909090909091,24,0.4191919191919191,0.2202881505618296,0.0,0.8238544,0.9188578,0.86876655,0.8139652,0.88924277,0.8499404
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.4658119658119657,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7616956,0.87652236,0.81508476
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7830137,0.8301707,0.8059029
