Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity,BERT Score Predicate (Precision),BERT Score Predicate (Recall),BERT Score Predicate (F1),BERT Score Object (Precision),BERT Score Object (Recall),BERT Score Object (F1)
instance of,person,on the provided,"text, we can populate the ontology as follows:",38,0.5292929292929293,15,0.4178743961352657,0.0,0.0,0.84986186,0.8802807,0.86480385,0.7960905,0.8323349,0.81380934
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_name,name,32,0.537878787878788,20,0.4722222222222221,0.0,0.0,0.7971932,0.83778274,0.81698424,0.98862195,0.98862195,0.98862195
instance of,person,has_name,philip james collins,32,0.537878787878788,38,0.5499999999999999,0.0,0.0,0.7971932,0.83778274,0.81698424,0.74513763,0.85897166,0.79801553
instance of,person,james,"collins, 'philip james collins')",25,0.5131313131313131,26,0.4305555555555555,0.0,0.0,0.8051058,0.82679105,0.81580436,0.7259737,0.8170066,0.7688048
instance of,person,has_surname,surname,27,0.4924242424242424,31,0.5396825396825397,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9995757,0.9995757,0.9995757
instance of,person,has_surname,collins,27,0.4924242424242424,31,0.4365079365079365,0.0,0.0,0.76556545,0.8276005,0.7953752,0.819757,0.9294552,0.87116635
instance of,person,james,"collins, 'collins')",25,0.5131313131313131,24,0.4415204678362572,0.0,0.0,0.8051058,0.82679105,0.81580436,0.7467279,0.8178332,0.7806647
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0,0.7667884,0.8280858,0.7962592,0.7814972,0.85791993,0.8179273
instance of,person,has_first_name,philip,40,0.5692640692640693,17,0.4444444444444444,0.0,0.0,0.7667884,0.8280858,0.7962592,0.8011956,0.92340225,0.85796905
instance of,person,james,"collins, 'philip')",25,0.5131313131313131,17,0.4444444444444444,0.0,0.0,0.8051058,0.82679105,0.81580436,0.7549112,0.8163009,0.78440684
instance of,person,relationship record,module: no information available.,33,0.5494417862838915,21,0.4292929292929293,0.0,0.0,0.88111395,0.88599193,0.88354623,0.81253284,0.87065333,0.84058964
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_sex,sex_type,22,0.4559884559884559,29,0.3611111111111111,0.0,0.0,0.8085098,0.8579323,0.83248824,0.7974366,0.8877914,0.8401917
instance of,person,has_sex,male,22,0.4559884559884559,20,0.4722222222222221,0.0,0.0,0.8085098,0.8579323,0.83248824,0.9931364,0.9931364,0.9931364
instance of,person,james,"collins, 'male')",25,0.5131313131313131,18,0.4513888888888888,0.0,0.0,0.8051058,0.82679105,0.81580436,0.75815016,0.81672144,0.7863467
instance of,person,record,module:,24,0.4191919191919191,15,0.0,0.0,0.0,0.90278363,0.8590397,0.8803686,0.9215966,0.94946736,0.9353244
instance of,person,has_occupation,occupation,24,0.3831168831168831,38,0.4888888888888889,0.0,0.0,0.80161965,0.85177016,0.82593435,0.99910057,0.99910057,0.99910057
instance of,person,has_occupation,journalist,24,0.3831168831168831,25,0.4888888888888889,0.0,0.0,0.80161965,0.85177016,0.82593435,0.9995698,0.9995698,0.9995698
instance of,person,has_occupation,academic,24,0.3831168831168831,14,0.4305555555555555,0.0,0.0,0.80161965,0.85177016,0.82593435,0.99911815,0.99911815,0.99911815
instance of,person,has_occupation,banker,24,0.3831168831168831,33,0.0,0.0,0.0,0.80161965,0.85177016,0.82593435,0.9993634,0.9993634,0.9993634
instance of,person,has_occupation,and speechwriter,24,0.3831168831168831,27,0.4722222222222221,0.0,0.0,0.80161965,0.85177016,0.82593435,0.80232114,0.8240148,0.81302327
instance of,person,james,"collins, 'journalist, academic, banker, and speechwriter')",25,0.5131313131313131,9,0.5065134099616858,0.0,0.0,0.8051058,0.82679105,0.81580436,0.77828556,0.82238466,0.7997276
instance of,person,record,module: no information available.,24,0.4191919191919191,21,0.4292929292929293,0.0,0.0,0.90278363,0.8590397,0.8803686,0.81253284,0.87065333,0.84058964
instance of,person,status record,module: no information available.,42,0.6773226773226773,21,0.4292929292929293,0.0,0.0,0.8770189,0.88307714,0.88003767,0.81253284,0.87065333,0.84058964
instance of,person,record,module: no information available.,24,0.4191919191919191,21,0.4292929292929293,0.0,0.0,0.90278363,0.8590397,0.8803686,0.81253284,0.87065333,0.84058964
instance of,person,descriptor record,module: no information available.,29,0.5398523045581869,21,0.4292929292929293,0.0,0.0,0.8736176,0.8801493,0.8768713,0.81253284,0.87065333,0.84058964
