Q100	Boston	9
Q1005	The Gambia	1
Q1006	Guinea	1
Q10076267	slave owner	1
Q1009	Cameroon	1
Q101207543	AlKindi	0
Q101243377	The Meridian Anthology of Early American Women Writers (1st edition)	3
Q1014	Liberia	1
Q101430687	spouse duo	1
Q1025788	Penryn	1
Q1028181	painter	1
Q102870	Harriet Tubman	139
Q1033	Nigeria	9
Q103846435	Bibb, Henry Walton (1815-1854), author, editor, and antislavery lecturer	0
Q103848019	Brown, William Wells (1814?\u201306 November 1884), author and reformer	0
Q103848510	Burns, Anthony (31 May 1829?\u201327 July 1862), fugitive slave and pastor	0
Q103849334	Cary, Lott (1780-1828), Baptist preacher and missionary to Africa	0
Q103856047	Early, Jordan Winston (1814-1903), minister	0
Q103858031	Fortune, Amos (1710?\u201317 November 1801), tanner and bookbinder	1
Q103858519	Fuller, Thomas (1710-1790), calculator	0
Q103859056	George, David (1742-1810), lay preacher and African-American \u00c3\u00a9migr\u00c3\u00a9 to Nova Scotia and Sierra Leone	0
Q103863246	Horton, George Moses (1797?\u20131883?), poet	0
Q103864681	Johnson, Jane (c. 1814-1822\u201302 August 1872), escaped slave	0
Q103882588	Toussaint, Pierre (1766-1853), businessman and philanthropist	0
Q103882796	Tubman, Harriet (1820-1913), legendary Underground Railroad conductor	0
Q104009791	Powers, Harriet	0
Q1041	Senegal	1
Q1044	Sierra Leone	1
Q104587594	death index	0
Q104831813	Juliette Toussaint	1
Q105095679	Mary Lincoln's Dress	0
Q105180	Sojourner Truth	129
Q105192847	MAK	1
Q105426392	Cugoano	1
Q105426398	Ottobah	1
Q105773119	Negro Poets and Their Poems	0
Q10588869	Moore	1
Q105958972	Notable Black American Women	11
Q106129855	WikiProject every politician\/Massachusetts	1
Q1062789	Congregational churches	1
Q106509962	National Library of Israel Names and Subjects Authority File	20
Q106677433	inferred from publications or works	0
Q106784552	Woodlawn Cemetery	1
Q106787730	American Women Writers	3
Q106890822	African American Visual Artists Database	0
Q10694573	textile artist	1
Q1070685	Chester Chronicle	0
Q107198	barber	1
Q10737	suicide	1
