Name,WD_Description,WD_Qid,WD_Url,E_Description,E_Qid,E_Url,E_Identifier
Sojourner Truth,African-American abolitionist and women's rights activist,Q105180,http://www.wikidata.org/entity/Q105180,"Enslaved. A traveling evangelical preacher, she took the name Sojourner Truth and became a leading feminist and abolitionist who also helped African Americans find employment outside of the south. She also initiated multiple lawsuits.",Q491531,https://lod.enslaved.org/wiki/Q491531,HC-PER-34750
Olaudah Equiano,1740s-1797 abolitionist and writer,Q379887,http://www.wikidata.org/entity/Q379887,"Enslaved. Free before 13th Amendment. Also known as Gustavus Vassa, Equiano survived the Middle Passage, bought his freedom, and became a prominent abolitionist who is considered to have authored the first full-length slave narrative.",Q490756,https://lod.enslaved.org/wiki/Q490756,HC-PER-34374
Stephen Bishop,American cave explorer,Q426451,http://www.wikidata.org/entity/Q426451,Enslaved. Free before 13th Amendment. Enslaved as a guide in Mammoth Caves who had extensive knowledge of the underground cave system.,Q490456,https://lod.enslaved.org/wiki/Q490456,HC-PER-36200
Jupiter Hammon,American writer and first known published African-American author,Q937369,http://www.wikidata.org/entity/Q937369,Enslaved. The first published African American poet and an advocate of gradual emancipation.,Q490893,https://lod.enslaved.org/wiki/Q490893,HC-PER-34432
Pierre Toussaint,Haitian-American hairdresser (1766–1853); declared Venerable by Pope John Paul II,Q945051,http://www.wikidata.org/entity/Q945051,"Born Enslaved. Free before 13th Amendment. Born enslaved in Saint-Domingue and brought to New York, Toussaint became a successful barber and philanthropist who was a devoted Catholic. His biography was written by a white friend, Hannah Farnham Sawyer Lee.",Q491519,https://lod.enslaved.org/wiki/Q491519,HC-PER-35004
William Wells Brown,"American abolitionist lecturer, novelist, playwright, and historian",Q961244,http://www.wikidata.org/entity/Q961244,"Enslaved. Free before 13th Amendment. An abolitionist, member of the Underground Railroad, autobiographer, travelogue writer, and author of Clotel (considered to be the first full-length African American novel) who also lectured in the U.S. and Great Britain .",Q490547,https://lod.enslaved.org/wiki/Q490547,HC-PER-34269
William Lee,George Washington's slave (1750-1828),Q1647292,http://www.wikidata.org/entity/Q1647292,"Enslaved. Free before 13th Amendment. A personal valet to George Washington and a talented horseman, Lee gained his freedom late in life but remained at Mount Vernon.",Q491106,https://lod.enslaved.org/wiki/Q491106,HC-PER-37342
Salem Poor,African-American Revolutionary War soldier,Q2214200,http://www.wikidata.org/entity/Q2214200,Enslaved. Free before 13th Amendment. Fought so valiantly at the Battle of Bunker Hill that fourteen officers submitted a petition for him to be rewarded.,Q491288,https://lod.enslaved.org/wiki/Q491288,HC-PER-37670
Anthony Burns,American formerly enslaved person (1834-1862),Q2852821,http://www.wikidata.org/entity/Q2852821,"Enslaved. Free before 13th Amendment. The subject of the most widely publicized fugitive slave case, Burns eventually became a Baptist clergyman in Ontario.",Q490534,https://lod.enslaved.org/wiki/Q490534,HC-PER-35495
Clara Brown,"American formerly enslaved person, community leader, philanthropist (1800–1885)",Q2975474,http://www.wikidata.org/entity/Q2975474,Enslaved. Community leader in Colorado.,Q490499,https://lod.enslaved.org/wiki/Q490499,HC-PER-36279
Hannah Crafts,American writer,Q3126834,http://www.wikidata.org/entity/Q3126834,"Enslaved. Cross-listed as ""Hannah Bond"".",Q490641,https://lod.enslaved.org/wiki/Q490641,HC-PER-35551
Henry Box Brown,"American magician, illusionist, actor and former slave",Q3132652,http://www.wikidata.org/entity/Q3132652,"Born Enslaved. Free before 13th Amendment. Made a daring escape from slavery by traveling in a box, an event that he later incorporated in his career as a performer.",Q490515,https://lod.enslaved.org/wiki/Q490515,HC-PER-34263
Henry Highland Garnet,American clergyman and diplomat,Q3132833,http://www.wikidata.org/entity/Q3132833,"Enslaved. Free before 13th Amendment. A temperance and antislavery activist who lectured in the U.S. and Great Britain. Also a university president, the first African American to preach a sermon in the White House, and U.S. minister to Liberia.",Q490831,https://lod.enslaved.org/wiki/Q490831,HC-PER-34403
Thomas Peters,Black Loyalist founding father of Sierra Leone,Q3347578,http://www.wikidata.org/entity/Q3347578,"Enslaved. Free before 13th Amendment. A West African-born Loyalist who was resettled to Nova Scotia after the Revolutionary War, Peters traveled to London in 1790 to petition the resettlement of Nova Scotia blacks to West Africa. 1200 individuals joined Peters in migrating to Sierra Leone.",Q491307,https://lod.enslaved.org/wiki/Q491307,HC-PER-37638
Samuel Ringgold Ward,American newspaper editor,Q3946640,http://www.wikidata.org/entity/Q3946640,"Enslaved. Free before 13th Amendment. A teacher, preacher of several congregations (one of which was all-white), and a traveling lecturer for the American Anti-Slavery Society, and newspaper editor.",Q491572,https://lod.enslaved.org/wiki/Q491572,HC-PER-35415
Absalom Jones,minister,Q4669651,http://www.wikidata.org/entity/Q4669651,"Enslaved. Free before 13th Amendment. The first black person to become an Episcopal priest, Jones was also an organizer of the Free Africa Society (in Philadelphia), an abolitionist, and ultimately an opponent of the American Colonization Society.",Q491029,https://lod.enslaved.org/wiki/Q491029,HC-PER-34501
Amos Fortune,American businessman,Q4747863,http://www.wikidata.org/entity/Q4747863,"Enslaved. Free before 13th Amendment. Enslaved and transported to America c. 1725, Fortune later became a tanner, a bookbinder, and a freedman.",Q490803,https://lod.enslaved.org/wiki/Q490803,HC-PER-34893
Archer Alexander,formerly enslaved person and statue model (~1810-1879),Q4785939,http://www.wikidata.org/entity/Q4785939,"Enslaved. Free before 13th Amendment. Described by William Greenleaf Eliot's The Story of Archer Alexander. From Slavery to Freedom, March 30, 1863 and portrayed in the Freedmen's Memorial to Abraham Lincoln, Archer was a fugitive slave who helped members of his family escape slavery.",Q490364,https://lod.enslaved.org/wiki/Q490364,HC-PER-36042
