Name	Status	URL	QID	Name	Identifier
Absalom_Jones.txt	x	https://lod.enslaved.org/wiki/Q491029	Q491029	Absalom Jones	HC-PER-34501
Amanda_America_Dickson.txt	x	https://lod.enslaved.org/wiki/Q490677	Q490677	Amanda America Dickson	HC-PER-36705
Amos_Fortune.txt	x	https://lod.enslaved.org/wiki/Q490803	Q490803	Amos Fortune	HC-PER-34893
Anthony_Burns.txt	x	https://lod.enslaved.org/wiki/Q490534	Q490534	Anthony Burns	HC-PER-35495
Archer_Alexander.txt	x	https://lod.enslaved.org/wiki/Q490364	Q490364	Archer Alexander	HC-PER-36042
Bethany_Veney.txt	x	https://lod.enslaved.org/wiki/Q491587	Q491587	Bethany Veney	HC-PER-38092
Charlotte_Dupuy.txt	x	https://lod.enslaved.org/wiki/Q490720	Q490720	Charlotte Dupuy	HC-PER-36746
Clara_Brown.txt	x	https://lod.enslaved.org/wiki/Q490499	Q490499	Clara Brown	HC-PER-36279
Colonel_Tye.txt	x	https://lod.enslaved.org/wiki/Q490642	Q490642	Titus Colonel Tye Corlies	HC-PER-38071
Cudjoe_Lewis.txt	x	https://lod.enslaved.org/wiki/Q134124	Q134124	Cudjoe	SV-PER-91525
David_George_(Baptist).txt	x	https://lod.enslaved.org/wiki/Q490821	Q490821	David George	HC-PER-34408
Elijah_Abel.txt	x	https://lod.enslaved.org/wiki/Q490385	Q490385	Elijah Abel Able	HC-PER-39638
Elizabeth_Keckley.txt	x	https://lod.enslaved.org/wiki/Q491066	Q491066	Elizabeth Hobbs Keckley	HC-PER-34518
Elizabeth_Key_Grinstead.txt	x	https://lod.enslaved.org/wiki/Q491039	Q491039	Elizabeth Key	HC-PER-37291
George_Freeman_Bragg.txt	x	https://lod.enslaved.org/wiki/Q490490	Q490490	George Freeman Bragg Jr	HC-PER-34251
George_Moses_Horton.txt	x	https://lod.enslaved.org/wiki/Q490952	Q490952	George Moses Horton	HC-PER-34465
Hannah_Crafts.txt	x	https://lod.enslaved.org/wiki/Q490641	Q490641	Hannah Crafts	HC-PER-35551
