P1	instance of
P2	subclass of
P3	hasAgeValue
P4	hasAgeCategory
P5	equivalent class
P6	isDirectlyBasedOn
P7	locatedIn
P8	hasPlaceType
P9	modern country code
P10	has cause
P11	version
P12	hasLink
P13	hasContributor
P14	hasPI
P15	hasLicenseInfo
P16	generatedBy
P17	hasParticipantRole
P18	recordedAt
P19	roleProvidedBy
P20	hasName
P21	hasExternalReference
P22	hasOccupation
P23	hasOriginalSourceType
P24	hasDescriptiveRole
P25	reportsOn
P26	availableFrom
P27	atPlace
P28	date
P29	providesParticipantRole
P30	hasEventType
P31	hasSex
P32	hasRaceorColor
P33	hasPersonStatus
P34	hasStatusGeneratingEvent
P35	hasMatchType
P36	Geonames ID
P37	hasSpouse
P38	hasChild
P39	hasInterAgentRelationshipTypeTo
P40	isRelationshipTo
P41	hasEnslavedPerson
P42	hasAge
P43	hasParent
P44	hasSibling
P45	has quality
P46	hasEthnolinguisticDescriptor
P47	referstoPlaceofOrigin
P48	hasOwner
P49	formatter URL
P50	formatter URI for RDF resource
P51	format as a regular expression
P52	occursAfter
P53	Enslaved.org property
P54	property constraint
P55	part of
P56	subject item of this property
P57	has part
P58	has effect
P59	hasCoordinates
P60	official website
P61	of
P62	facet of
P63	endsAt
P64	VIAF ID
P65	wikidataID
P66	hasDescription
P67	hasGodparent
P68	hasGodChild
P69	occursBefore
P70	ethnonym variant
P71	hasAlternateName
P72	hasSurname
P73	hasFirstName
P74	hasBroader
P75	circa
P76	source website for the property
P77	hasDescriptiveEthnonym
P78	hasDescriptiveOccupation
P79	matches
P80	Ethnonym related term
P81	hasCoordianteString
P82	startsAt
P83	hasResource
