Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,christopher brent wood,24,0.46645021645021645,29,0.6464646464646465,0.0,0.0
instance of,person,brent,"wood, ""christopher brent wood"")",25,0.5272727272727272,22,0.5152329749103942,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,brent faiyaz,18,0.4239789196310935,22,0.47222222222222215,0.0,0.0
instance of,person,brent,"wood, ""brent faiyaz"")",25,0.5272727272727272,15,0.5357142857142857,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,christopher brent wood,30,0.4545454545454546,29,0.6464646464646465,0.0,0.0
instance of,person,brent,"wood, ""christopher brent wood"")",25,0.5272727272727272,22,0.5152329749103942,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,wood,28,0.4452861952861953,20,0.47222222222222215,0.0,0.0
instance of,person,brent,"wood, ""wood"")",25,0.5272727272727272,11,0.41452991452991456,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,christopher,32,0.5192640692640692,35,0.5909090909090909,0.0,0.0
instance of,person,brent,"wood, ""christopher"")",25,0.5272727272727272,23,0.4388888888888889,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
