Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, the following ontology can be populated:",35,0.5909090909090909,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,jack sisson,24,0.46645021645021645,35,0.41919191919191917,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,jack sisson,18,0.4239789196310935,35,0.41919191919191917,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,jack sisson,30,0.4545454545454546,35,0.41919191919191917,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,sisson,28,0.4452861952861953,50,0.6666666666666666,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,jack,32,0.5192640692640692,0,0.0,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,enslaved african american who sided with the patriots and served in the 1st rhode island regiment during the american revolutionary war. key figure in the july 1777 capture of british general richard prescott.,24,0.47056277056277057,6,0.5651249335459861,0.0,0.0
instance of,person,african american who sided with the patriots and served in the 1st rhode island regiment during the american revolutionary,"war. key figure in the july 1777 capture of british general richard prescott."")",14,0.5452061599602583,12,0.49887482419127993,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race,race,42,0.537878787878788,20,0.4444444444444444,0.0,0.0
instance of,person,has_race,african-american,42,0.537878787878788,27,0.4861111111111111,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasbirthdate,date_of_birth,35,0.5570707070707072,21,0.49572649572649574,0.0,0.0
instance of,person,hasbirthdate,c. 1743,35,0.5570707070707072,0,0.0,0.0,0.0
instance of,person,hasdeathdate,date_of_death,35,0.398989898989899,21,0.49572649572649574,0.0,0.0
instance of,person,hasdeathdate,1821,35,0.398989898989899,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hassex,sex_type,24,0.47979797979797983,29,0.3611111111111111,0.0,0.0
instance of,person,hassex,male,24,0.47979797979797983,20,0.47222222222222215,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,hasstatusgeneratedevent,event,29,0.4906455862977602,36,0.5777777777777778,0.0,0.0
instance of,person,hasstatusgeneratedevent,american revolutionary war,29,0.4906455862977602,25,0.5235042735042735,0.0,0.0
instance of,person,hasstatusgeneratedevent,capture of british general richard prescott,29,0.4906455862977602,20,0.6020671834625323,0.0,0.0
instance of,person,revolutionary,"war, capture of british general richard prescott"")",25,0.3900543900543901,18,0.5955555555555555,0.0,0.0
instance of,person,hasvalue,pscategories,32,0.43813131313131315,44,0.5833333333333334,0.0,0.0
instance of,person,hasvalue,enslaved,32,0.43813131313131315,29,0.5277777777777778,0.0,0.0
instance of,person,hasvalue,soldier,32,0.43813131313131315,31,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasvalue,occupations,32,0.43813131313131315,35,0.47979797979797983,0.0,0.0
instance of,person,hasvalue,soldier,32,0.43813131313131315,31,0.0,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,hasparticipantroletype,participantroletypes,30,0.5719696969696969,23,0.5388888888888889,0.0,0.0
instance of,person,hasparticipantroletype,soldier,30,0.5719696969696969,31,0.0,0.0,0.0
instance of,person,hasparticipantroletype,pilot,30,0.5719696969696969,36,0.5777777777777778,0.0,0.0
instance of,person,roleprovidedby,event,16,0.44155844155844154,36,0.5777777777777778,0.0,0.0
instance of,person,roleprovidedby,american revolutionary war,16,0.44155844155844154,25,0.5235042735042735,0.0,0.0
instance of,person,roleprovidedby,capture of british general richard prescott,16,0.44155844155844154,20,0.6020671834625323,0.0,0.0
instance of,person,revolutionary,"war, capture of british general richard prescott"")",25,0.3900543900543901,18,0.5955555555555555,0.0,0.0
instance of,person,is not,provided in the text.,47,0.5934343434343434,30,0.6238095238095238,0.0,0.0
instance of,person,information for the origin record,"module, interagent relationship record module, and age record module (hasagevalue) is not provided in the text.",32,0.5858585858585857,10,0.5735735735735735,0.0,0.0
hasalternatename,tack,on the,"text, the following ontology can be populated:",27,0.5555555555555555,8,0.4239130434782609,0.0,0.0
hasalternatename,tack,record,module:,18,0.3194444444444444,0,0.0,0.0,0.0
hasalternatename,tack,hasnamevariant,namevariant,53,0.8134469696969697,13,0.44696969696969696,0.0,0.0
hasalternatename,tack,hasnamevariant,jack sisson,53,0.8134469696969697,40,0.6742424242424242,0.0,0.0
hasalternatename,tack,haspreferrednamevariant,preferrednamevariant,51,0.6900083612040134,8,0.43333333333333335,0.0,0.0
hasalternatename,tack,haspreferrednamevariant,jack sisson,51,0.6900083612040134,40,0.6742424242424242,0.0,0.0
hasalternatename,tack,fullnameasstring,xsd:string,31,0.5972222222222222,14,0.0,0.0,0.0
hasalternatename,tack,fullnameasstring,jack sisson,31,0.5972222222222222,40,0.6742424242424242,0.0,0.0
hasalternatename,tack,hassurnameasstring,xsd: string,47,0.6752946127946128,13,0.0,0.0,0.0
hasalternatename,tack,hassurnameasstring,sisson,47,0.6752946127946128,0,0.0,0.0,0.0
hasalternatename,tack,hasfirstnameasstring,xsd: string,50,0.6722222222222222,13,0.0,0.0,0.0
hasalternatename,tack,hasfirstnameasstring,jack,50,0.6722222222222222,75,0.8333333333333334,0.0,0.0
hasalternatename,tack,hasdescription,description,47,0.5982142857142857,13,0.44696969696969696,0.0,0.0
hasalternatename,tack,hasdescription,enslaved african american who sided with the patriots and served in the 1st rhode island regiment during the american revolutionary war. key figure in the july 1777 capture of british general richard prescott.,47,0.5982142857142857,4,0.4770069112174375,0.0,0.0
hasalternatename,tack,african american who sided with the patriots and served in the 1st rhode island regiment during the american revolutionary,"war. key figure in the july 1777 capture of british general richard prescott."")",19,0.5312613843351549,7,0.5168776371308017,0.0,0.0
hasalternatename,tack,record,module:,18,0.3194444444444444,0,0.0,0.0,0.0
hasalternatename,tack,has_race,race,50,0.6527777777777778,50,0.6666666666666666,0.0,0.0
hasalternatename,tack,has_race,african-american,50,0.6527777777777778,20,0.5416666666666666,0.0,0.0
hasalternatename,tack,record,module:,18,0.3194444444444444,0,0.0,0.0,0.0
hasalternatename,tack,hasbirthdate,date_of_birth,50,0.6388888888888888,12,0.3846153846153846,0.0,0.0
hasalternatename,tack,hasbirthdate,c. 1743,50,0.6388888888888888,18,0.46428571428571425,0.0,0.0
hasalternatename,tack,hasdeathdate,date_of_death,57,0.8136574074074074,24,0.3846153846153846,0.0,0.0
hasalternatename,tack,hasdeathdate,1821,57,0.8136574074074074,0,0.0,0.0,0.0
hasalternatename,tack,record,module:,18,0.3194444444444444,0,0.0,0.0,0.0
hasalternatename,tack,hassex,sex_type,36,0.6388888888888888,17,0.0,0.0,0.0
hasalternatename,tack,hassex,male,36,0.6388888888888888,25,0.5,0.0,0.0
hasalternatename,tack,status record,module:,34,0.5010683760683761,0,0.0,0.0,0.0
hasalternatename,tack,hasstatusgeneratedevent,event,56,0.6900083612040134,22,0.0,0.0,0.0
hasalternatename,tack,hasstatusgeneratedevent,american revolutionary war,56,0.6900083612040134,13,0.5256410256410257,0.0,0.0
hasalternatename,tack,hasstatusgeneratedevent,capture of british general richard prescott,56,0.6900083612040134,13,0.49547803617571057,0.0,0.0
hasalternatename,tack,revolutionary,"war, capture of british general richard prescott"")",28,0.44551282051282054,11,0.49222222222222217,0.0,0.0
hasalternatename,tack,hasvalue,pscategories,50,0.7958333333333334,12,0.5555555555555555,0.0,0.0
hasalternatename,tack,hasvalue,enslaved,50,0.7958333333333334,17,0.4583333333333333,0.0,0.0
hasalternatename,tack,hasvalue,soldier,50,0.7958333333333334,0,0.0,0.0,0.0
hasalternatename,tack,record,module:,18,0.3194444444444444,0,0.0,0.0,0.0
