P1001	applies to jurisdiction	4
P1005	Portuguese National Library author ID	2
P1006	Nationale Thesaurus voor Auteursnamen ID	89
P101	field of work	20
P1015	NORAF ID	20
P1017	Vatican Library ID (former scheme)	2
P102	member of political party	5
P10297	Google Arts & Culture entity ID	14
P103	native language	11
P1039	kinship to subject	0
P1050	medical condition	6
P10553	IxTheo authority ID	32
P106	occupation	459
P108	employer	10
P10832	WorldCat Entities ID	2
P10882	Met Constituent ID	5
P109	signature	8
P11158	Dimitri and Aliki Perrotis Central Library ID	2
P11180	Central Library of Volos authority ID	2
P112	founded by	7
P11249	KBR person ID	25
P11271	African American Visual Artists Database ID	17
P11496	CiNii Research ID	14
P11686	University of Barcelona authority ID	5
P11870	The Literary Encyclopedia person ID	14
P119	place of burial	69
P1196	manner of death	20
P1207	NUKAT ID	47
P12086	WikiKids ID	5
P1216	National Heritage List for England number	2
P1225	U.S. National Archives Identifier	2
P123	publisher	0
P12458	Parsifal cluster ID	8
P1263	NNDB people ID	14
P127	owned by	9
P1273	CANTIC ID (former scheme)	5
P1280	CONOR.SI ID	2
P1299	depicted by	14
P1303	instrument	2
P131	located in the administrative territorial entity	0
P1315	NLA Trove people ID	17
P1317	floruit	2
P1319	earliest date	0
P1325	external data available at URL	0
P1343	described by source	185
P1344	participant in	5
P136	genre	10
P1365	replaces	0
P1366	replaced by	0
P1375	NSK ID	8
P138	named after	0
P140	religion or worldview	64
P1412	languages spoken, written or signed	114
P1415	Oxford Dictionary of National Biography ID	53
P1417	Encyclop\u00e6dia Britannica Online ID	49
P143	imported from Wikimedia project	119
P1430	Open Plaques subject ID	2
P1442	image of grave	31
P1449	nickname	9
P1472	Commons Creator page	11
P1476	title	3
P1477	birth name	11
P1480	sourcing circumstances	19
P1534	end cause	8
P1545	series ordinal	2
P1559	name in native language	20
P1563	MacTutor biography ID	2
P1564	At the Circulating Library ID	2
P1580	University of Barcelona authority ID (former scheme)	2
P1615	CLARA-ID	2
P1617	BBC Things ID	8
P1636	date of baptism	2
P166	award received	25
P1683	quotation	1
P1695	NLP ID (old)	8
P17	country	0
P1711	British Museum person or institution ID	11
P172	ethnic group	123
P18	image	185
P180	depicts	0
P1801	plaque image	5
P1810	subject named as	81
P1816	National Portrait Gallery (London) person ID	14
P1819	genealogics.org person ID	8
P1869	Hall of Valor ID	2
P1871	CERL Thesaurus ID	98
P1889	different from	17
P1899	LibriVox author ID	23
P19	place of birth	256
P1938	Project Gutenberg author ID	35
P1953	Discogs artist ID	5
P1971	number of children	2
P20	place of death	148
P2093	author name string	3
P2096	media legend	3
P21	sex or gender	377
P213	ISNI	167
P214	VIAF ID	200
P2163	FAST ID	205
P217	inventory number	0
P22	father	23
P2241	reason for deprecated rank	6
P227	GND ID	119
P2401	Six Degrees of Francis Bacon ID	5
P241	military branch	8
P244	Library of Congress authority ID	210
P245	Union List of Artist Names ID	8
P248	stated in	84
P25	mother	9
P2533	WomenWriters ID	14
P2581	BabelNet ID	2
P26	spouse	28
P2600	Geni.com profile ID	44
P2607	BookBrainz author ID	7
P2671	Google Knowledge Graph ID	50
P268	Biblioth\u00e8que nationale de France ID	74
P269	IdRef ID	104
P2699	URL	11
P27	country of citizenship	233
P271	NACSIS-CAT author ID	14
P2734	Unz Review author ID	8
P2753	Dictionary of Canadian Biography ID	17
P276	location	0
P2799	BVMC person ID	2
P2842	place of marriage	0
P2843	Benezit ID	5
P2868	subject has role	6
P2886	Shakeosphere person ID	8
P2889	FamilySearch person ID	2
P2924	Great Russian Encyclopedia Online ID (old version)	2
P2937	parliamentary term	0
P2949	WikiTree person ID	182
P304	page(s)	10
P3065	RERO ID (obsolete)	14
P31	instance of	326
P3154	Runeberg author ID	2
P3217	Dictionary of Swedish National Biography ID	2
P3219	Encyclop\u00e6dia Universalis ID	5
P3222	NE.se ID	11
P3348	National Library of Greece ID	5
P3368	Prabook ID	80
P3373	sibling	42
P3388	LittleSis people ID	2
P3417	Quora topic ID	17
P3430	SNAC ARK ID	78
P345	IMDb ID	2
P3452	inferred from	22
P3478	Songkick artist ID	2
P349	NDL Authority ID	17
P3630	Babelio author ID	11
P3716	social classification	394
P373	Commons category	160
P3762	openMLOL author ID	29
P3831	object has role	0
P3847	Open Library subject ID	5
P39	position held	7
P3938	named by	0
P396	SBN author ID	2
P3987	SHARE Catalogue author ID	23
P40	child	43
P407	language of work or name	5
P409	Libraries Australia ID	11
P410	military rank	14
P411	canonization status	2
P4159	WeRelate person ID	11
P4272	DPLA subject term	4
P434	MusicBrainz artist ID	2
P4342	Store norske leksikon ID	5
P4431	Google Doodle	8
P451	unmarried partner	5
P4514	Africultures person ID	2
P4539	Collective Biographies of Women ID	8
P459	determination method	0
P4602	date of burial or cremation	2
P4619	National Library of Brazil ID	8
P4629	Online Books Page author ID	68
P463	member of	5
P4638	The Peerage person ID	2
P4656	Wikimedia import URL	39
P478	volume	0
P4823	American National Biography ID	92
P4839	Wolfram Language entity code	2
P485	archives at	2
P4903	New Georgia Encyclopedia ID	14
P50	author	0
P5008	on focus list of Wikimedia project	193
P5017	last update	0
P5034	National Library of Korea ID	8
P5063	Interlingual Index ID	5
P509	cause of death	20
P5101	Swedish Literature Bank Author ID	2
P512	academic degree	0
P527	has part(s)	4
P528	catalog code	1
P53	family	2
P5337	Google News topics ID	5
P5341	Poetry Foundation ID	5
P5343	Poets.org poet ID	5
P535	Find a Grave memorial ID	71
P5361	BNB person ID	34
P5395	Canadian Encyclopedia article ID	2
P5421	Trading Card Database person ID	8
P5478	RPO poet ID	2
P551	residence	52
P5587	Libris-URI	14
P5597	Artcyclopedia artist ID	2
P5618	LOA ID	5
P569	date of birth	379
P570	date of death	318
P577	publication date	15
P580	start time	15
P582	end time	18
P585	point in time	6
P5882	Muziekweb performer ID	5
P5905	Comic Vine ID	2
P5981	Encyclopedia Virginia ID	32
P5997	object stated in reference as	0
P6010	Encyclopedia of Alabama ID	2
P607	conflict	30
P611	religious order	2
P625	coordinate location	0
P6262	Fandom article ID	2
P6284	NCpedia ID	11
P6295	ARTIC artist ID	2
P6327	Goodreads character ID	5
P6333	title of broader work	0
P6362	Litchfield Ledger ID	2
P6371	Archives of Maryland Biographical Series ID	2
P6379	has works in the collection	19
P6404	Treccani's Dizionario di Storia ID	5
P642	of	1
P646	Freebase ID	344
P648	Open Library ID	79
P6488	Enciclopedia delle donne ID	5
P651	Biografisch Portaal van Nederland ID	2
P6722	FemBio ID	11
P6723	BlackPast.org ID	113
P6745	Orlando author ID	5
P6821	Uppsala University Alvin ID	5
P6868	Hoopla artist ID	2
P6886	writing language	11
P69	educated at	32
P691	NL CR AUT ID	35
P6944	Bionomia ID	2
P7029	National Library of Russia ID	7
P723	Digitale Bibliotheek voor de Nederlandse Letteren author ID	8
P7293	PLWABN ID	17
P7305	Online PWN Encyclopedia ID	5
P734	family name	264
P735	given name	348
P7369	National Library of Chile ID	5
P7400	LibraryThing author ID	2
P742	pseudonym	8
P7452	reason for preferred rank	3
P746	date of disappearance	2
P7502	Golden ID	8
P7578	DUC ID	8
P7686	Encyclopedia of the Great Plains ID	5
P7699	National Library of Lithuania ID	5
P7704	Europeana entity	17
P7745	Movie Walker Press person ID	2
P7763	copyright status as a creator	14
P7818	French Vikidia ID	5
P7859	WorldCat Identities ID (superseded)	221
P7902	Deutsche Biographie (GND) ID	2
P793	significant event	11
P7982	Hrvatska enciklopedija ID	5
P800	notable work	29
P805	statement is subject of	10
P812	academic major	0
P813	retrieved	79
P8143	SAR ancestor ID	5
P8156	NKAA ID	8
P8168	FactGrid item ID	8
P8179	Canadiana Name Authority ID	14
P8189	National Library of Israel J9U ID	113
P828	has cause	1
P8313	Den Store Danske ID	5
P8406	Grove Art Online ID	2
P8408	KBpedia ID	2
P8462	Political Graveyard politician ID	2
P854	reference URL	64
P856	official website	2
P8630	Thomas Jefferson Encyclopedia ID	8
P8730	National Park Service people ID	2
P8795	Diamond Catalogue ID for persons and organisations	2
P8814	WordNet 3.1 Synset ID	5
P887	based on heuristic	21
P888	JSTOR article ID	0
P9037	BHCL UUID	2
P9054	National Historic People ID	5
P906	SELIBR ID	14
P910	topic's main category	11
P9141	Portal da Literatura ID	2
P9247	Pontifical University of Salamanca ID	5
P9315	Enslaved.org person ID	17
P935	Commons gallery	5
P937	work location	10
P945	allegiance	8
P949	National Library of Israel ID (old)	20
P950	National Library of Spain ID	20
P957	ISBN-10	0
P958	section, verse, paragraph, or clause	4
P9675	MediaWiki page ID	0
P97	noble title	2
P973	described at URL	18
P9802	Penguin Random House author ID	8
P9918	Kall\u00edas ID	2
P9984	CANTIC ID	5
