Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,adam elliot,32,0.537878787878788,24,0.41919191919191917,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,elliot,27,0.49242424242424243,33,0.5555555555555555,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,adam,40,0.5692640692640693,0,0.0,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,information,provided.,36,0.5696969696969697,40,0.611111111111111,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,film festival participant,32,0.5668831168831169,19,0.4711111111111111,0.0,0.0
instance of,person,festival,"participant"")",32,0.537878787878788,32,0.576923076923077,0.0,0.0
instance of,person,role_provided_by,event,15,0.4356060606060606,36,0.5777777777777778,0.0,0.0
instance of,person,role_provided_by,over seven hundred film festivals,15,0.4356060606060606,21,0.5282828282828284,0.0,0.0
instance of,person,festival,"participant, ""over seven hundred film festivals"").",32,0.537878787878788,18,0.5955555555555555,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,filmmaker,24,0.38311688311688313,27,0.0,0.0,0.0
instance of,person,has_occupation,stop-motion animator,24,0.38311688311688313,23,0.5388888888888889,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,specific age,mentioned.,26,0.597041847041847,38,0.48888888888888893,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,january 2,33,0.5463869463869464,13,0.35185185185185186,0.0,0.0
instance of,person,has_birthdate,1972,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,death date,mentioned.,29,0.4212121212121212,38,0.48888888888888893,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,information,provided.,36,0.5696969696969697,40,0.611111111111111,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,information,provided.,36,0.5696969696969697,40,0.611111111111111,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,academy award winner,29,0.449554367201426,23,0.4777777777777778,0.0,0.0
instance of,person,has_person_status,film festival participant,29,0.449554367201426,19,0.4711111111111111,0.0,0.0
instance of,person,award,"winner, film festival participant"")",12,0.43030303030303035,20,0.42698412698412697,0.0,0.0
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,winning an academy award for harvie krumpet,26,0.4799102132435466,12,0.41214470284237725,0.0,0.0
instance of,person,has_status_generating_event,participation in over seven hundred film festivals,26,0.4799102132435466,18,0.5955555555555555,0.0,0.0
instance of,person,award,"winner, ""winning an academy award for harvie krumpet""), has_status_generating_event(film festival participant, ""participation in over seven hundred film festivals"").",12,0.43030303030303035,7,0.5676767676767677,0.0,0.0
hasname,"elliot, adam",record,module:,15,0.0,21,0.44841269841269843,0.0,0.0
hasname,"elliot, adam",has_name,name,93,0.9708333333333333,25,0.4444444444444444,0.0,0.0
hasname,"elliot, adam",has_name,adam elliot,93,0.9708333333333333,52,0.597041847041847,0.0,1.0000000000000002
hasname,"elliot, adam",has_surname,surname,78,0.9151515151515152,21,0.4087301587301588,0.0,0.0
